date	competitor	finding	score	A	P	G	status	action
2026-04-05	Goop	Content-to-commerce: every editorial article has shoppable product links embedded naturally — $350 AOV, $62M/yr revenue	80.0	10	8	10	implement	Add affiliate links to all 3 blog posts this week — capsule wardrobe pieces, travel booking, divorce services
2026-04-05	Boom Beauty	One blog post (5 Makeup Tips for Older Women) drove $22M in attributed sales via Facebook ads to article to product funnel	72.0	9	8	9	implement	Write 2-3 perfect funnel articles. Test $50-100 Facebook ads targeting women 45-65 to our gray divorce guide
2026-04-05	NOON	52% email open rate on Substack newsletter — 10K+ free subs, ~1K paid at £6/mo. No products sold at all.	70.0	10	7	10	implement	Launch Beehiiv newsletter immediately — we add the commerce layer NOON is missing
2026-04-05	Fabulous50s	2.2M YouTube subscribers with fitness content for women 50+. Dominant in video. Nobody else competes on YouTube for this demo	50.0	10	10	5	roadmap	Test YouTube: turn capsule wardrobe and solo travel posts into videos. Low-competition channel
2026-04-05	Stripes	L Catterton acquired majority stake → 3x revenue in one year. Now in Ulta + Credo nationwide. Partnered with Wisp telehealth for affiliate	45.0	9	10	5	roadmap	Model exit path after L Catterton playbook. Add telehealth affiliate (Midi Health, Evernow) to divorce guide
2026-04-05	NOON	NOON Circles — small groups of midlife women meeting regularly online + IRL. Creates retention moat and community depth	40.0	8	10	5	roadmap	Plan Crown Circles format for month 6. Start with online-only. Weekly prompts. 8-12 women per circle.
2026-04-05	NextTribe	Pivoted to travel-first with 25-30 curated trips/year. Newsletter → trip booking funnel. Travel is highest-margin experience product	35.0	7	10	5	roadmap	Add travel booking affiliates to solo travel post. Consider curated trip partnerships later.
2026-04-05	Goop	In goop Health events — immersive wellness experiences generating millions. Events build loyalty more than content.	20.0	4	10	5	noted
2026-04-05	Sixty and Me	Massive content volume (thousands of posts) across all topics for 60+ women. Ranks for everything but quality is low.	15.0	5	6	5	noted
2026-04-05	The Girlfriend	AARP-backed newsletter reaching 38M member base. Proves big media wants this audience. Acquisition signal for Crown Years.	10.0	2	10	5	noted
2026-07-17	Pew Research	2025 US platform use among ages 50-64 is 85% YouTube, 74% Facebook, 40% Instagram, and 30% TikTok; YouTube and Facebook are the only broad-reach defaults for this audience	100.0	10	10	10	implement	Use Facebook for direct-response transition offers and YouTube for trust-led strength/style education; treat Instagram and TikTok as secondary repurposing channels
2026-07-17	NOON	Current midlife membership ladder bundles free newsletters and chats, then charges £8/mo for circles, webinars, gatherings, and event/trip privileges; £35/mo adds networking salon and WhatsApp access	80.0	10	8	10	implement	Do not charge for articles alone; grow a free Crown Years list, then test paid facilitated circles only after the list proves recurring engagement
2026-07-17	Etsy	Menopause planners and trackers are heavily commoditized at roughly $0.99-$9 despite hundreds of reviews, making generic printable PDFs a poor flagship product	80.0	10	8	10	implement	Use generic planners only as free lead magnets or low-cost order bumps; charge $29+ only for specific high-stakes decision systems with original tools and expert review
2026-07-17	Trinny London	The advice-led beauty brand grew sales 25% in 2025 to more than $93M while emphasizing customer data, personalization, and emotional connection for women 35+	64.0	8	10	8	implement	Build a shoppable Crown Edit newsletter and recommendation content with affiliate partners; do not carry inventory or launch a generic beauty product line
2026-07-17	Fabulous50s	Current women-over-50 course ladder spans a $9 kickstart, $27-$63 challenges/bundles, and a $97 breathwork course, with free trials and newsletter/free-resource acquisition	57.6	8	8	9	roadmap	If strength is tested, partner with a credible on-camera expert and validate a narrowly scoped $9 challenge before building a $49-$79 program; do not build a broad fitness app first
2026-07-17	NextTribe	A women-over-45 travel publisher sold out a 2026 Morocco group trip at $4,899 with a $750 deposit, proving high-ticket appetite but also an operationally heavy model	36.0	5	9	8	roadmap	Start with curated travel editorial and affiliate/advisor partnerships; only consider operating Crown Years trips after audience and partner demand are established
2026-07-17	Pinterest	Pinterest reports a 70% female global audience, 40% reach into US households earning $150K+, and strong shopping discovery behavior; UK data separately shows 30% reach among adults 45+	39.2	7	7	8	roadmap	Use Pinterest for evergreen style, beauty, travel, and home discovery that leads into email; do not make it the primary channel for urgent transition products
